name,nameZusatz,branche,plz,ort,strasse,hausnummer,hausnummerZusatz,telefon1,telefon2,fax,email,ausbildungsbetrieb,massnahmentraeger,belehrungNachISGErforderlich,erweitertesFuehrungszeugnis,praktikumsplaetze,bemerkungen
REWE Markt GmbH,Filiale Mitte,Lebensmitteleinzelhandel,42103,Wuppertal,Hauptstraße,15,,0202 111100,,0202 111101,markt-mitte@rewe.de,ja,,,,ja,
Stadtsparkasse Wuppertal,,Bankwesen,42103,Wuppertal,Neumarkt,7,,0202 222200,0202 222201,0202 222202,info@sskw.de,ja,,,,,Azubibetreuung durch HR-Abteilung
Weber IT Solutions GmbH,NRW,Informationstechnologie,42119,Wuppertal,Lise-Meitner-Str.,4,,0202 333300,,0202 333301,info@weber-it.de,ja,,,,ja,
Gasthof Zum Goldenen Löwen,,Gastronomie,42285,Wuppertal,Schloßbleiche,22,,0202 444400,,,info@gasthof-goldener-loewe.de,,,ja,ja,ja,Lebensmittelhygiene Pflichtbelehrung
Kita Sonnenstern gGmbH,,Kindertagesbetreuung,42119,Wuppertal,Parkstraße,3,,0202 555500,,0202 555501,leitung@kita-sonnenstern.de,,ja,ja,ja,,Erweitertes FZ für alle Mitarbeiter
Sanitär & Heizung Schulze GmbH,,SHK-Handwerk,42277,Wuppertal,Industriestraße,88,,0202 666600,0202 666601,0202 666602,info@sanitaer-schulze.de,ja,,,,ja,
Hausarztpraxis Dr. Fischer,und Kollegen,Gesundheitswesen,42853,Remscheid,Hindenburgstraße,12,a,02191 77770,,02191 77771,praxis@dr-fischer-rs.de,,,ja,ja,,
EDEKA Frischemarkt Bauer,,Lebensmitteleinzelhandel,42697,Solingen,Ohliger Straße,55,,0212 888800,0212 888801,0212 888802,edeka-bauer@gmx.de,ja,,ja,,ja,
Malerbetrieb Frisch & Farbig OHG,,Malerhandwerk,42651,Solingen,Cronenberger Str.,33,,0212 999900,,0212 999901,kontakt@frisch-farbig.de,ja,,,,,
Kanzlei Hoffmann & Partner,,Rechtsberatung,42853,Remscheid,Alleestraße,8,,02191 10100,,02191 10101,kanzlei@hoffmann-partner.de,,,,,,
Allianz Versicherung Becker,Generalvertretung,Versicherungen,42697,Solingen,Neustraße,17,,0212 10200,,0212 10201,becker@allianz-agentur.de,,,,,,
Kfz-Meister Krause GmbH,,Kfz-Handwerk,42897,Remscheid,Gewerbepark,5,b,02191 10300,02191 10301,02191 10302,kontakt@kfz-krause.de,ja,,,,ja,
Buchhandlung Lesezeichen,,Buchhandel,42103,Wuppertal,Kaiserstraße,41,,0202 10400,,,info@buchhandlung-lesezeichen.de,,,,,,
Seniorenresidenz Waldblick GmbH,,Pflege & Sozialwesen,42327,Wuppertal,Handwerkerring,2,,0202 10500,0202 10501,0202 10502,info@waldblick-wtal.de,,ja,ja,ja,,Erweitertes FZ und ISG für alle Pflegekräfte
Planwerk Architekten GmbH,,Architektur,42119,Wuppertal,Bergstraße,61,,0202 10600,,0202 10601,info@planwerk-wtal.de,,,,,ja,
BFZ Bildungszentrum GmbH,,Bildung & Weiterbildung,42103,Wuppertal,Hofkamp,9,,0202 10700,0202 10701,0202 10702,info@bfz-wtal.de,,ja,,,ja,Bildungsträger nach AZAV zertifiziert
Gebäudeservice Wagner GmbH,,Facility Management,42281,Wuppertal,Berliner Straße,120,,0202 10800,,0202 10801,info@geb-wagner.de,,,,ja,,
Taxi & Mietwagen Özdemir,,Transport & Logistik,42719,Solingen,Stadtparkweg,1,,0212 10900,0212 10901,,info@taxi-oezdemir.de,,,,ja,,
Hotel Am Stadtpark GmbH,,Hotellerie,42651,Solingen,Schützenstraße,18,,0212 11000,0212 11001,0212 11002,info@hotel-stadtpark-sg.de,ja,,,,ja,
FitLife Fitness und Wellness GmbH,,Sport & Freizeit,42285,Wuppertal,Marktplatz,11,,0202 11100,,,info@fitlife-wtal.de,,,,,,
